Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.000, 0.012, 0.591, 29.542, 0.000, 0.000, 0.000, 10.000
0.001, 0.024, 0.591, -0.000, 0.000, 0.020, 0.001, 10.000
0.002, 0.053, 1.477, 44.313, 0.000, 0.040, 0.002, 10.000
0.004, 0.095, 2.068, 29.542, 0.000, 0.060, 0.004, 10.000
0.006, 0.148, 2.659, 29.541, 0.000, 0.080, 0.006, 10.000
0.011, 0.213, 3.250, 29.541, 0.000, 0.100, 0.011, 10.000
0.017, 0.290, 3.840, 29.539, 0.000, 0.120, 0.017, 10.000
0.024, 0.378, 4.431, 29.538, 0.000, 0.140, 0.024, 10.000
0.034, 0.479, 5.022, 29.536, 0.000, 0.160, 0.034, 10.000
0.045, 0.591, 5.613, 29.533, 0.000, 0.180, 0.045, 10.000
0.060, 0.715, 6.203, 29.530, 0.000, 0.200, 0.060, 10.000
0.077, 0.851, 6.794, 29.526, 0.000, 0.220, 0.077, 10.000
0.097, 0.998, 7.384, 29.521, 0.000, 0.240, 0.097, 10.000
0.120, 1.158, 7.974, 29.516, 0.000, 0.260, 0.120, 10.000
0.147, 1.329, 8.565, 29.509, 0.000, 0.280, 0.147, 10.000
0.177, 1.512, 9.155, 29.501, 0.000, 0.300, 0.177, 10.000
0.211, 1.707, 9.744, 29.493, 0.000, 0.320, 0.211, 10.000
0.249, 1.914, 10.334, 29.483, 0.000, 0.340, 0.249, 10.000
0.292, 2.132, 10.924, 29.472, 0.000, 0.360, 0.292, 10.000
0.339, 2.363, 11.513, 29.460, 0.000, 0.380, 0.339, 10.000
0.391, 2.605, 12.102, 29.446, 0.000, 0.400, 0.391, 10.000
0.448, 2.858, 12.690, 29.431, 0.000, 0.420, 0.448, 10.000
0.511, 3.124, 13.279, 29.415, 0.000, 0.440, 0.511, 10.000
0.579, 3.401, 13.866, 29.397, 0.000, 0.460, 0.579, 10.000
0.653, 3.690, 14.454, 29.377, 0.000, 0.480, 0.653, 10.000
0.732, 3.991, 15.041, 29.356, 0.000, 0.500, 0.732, 10.000
0.819, 4.304, 15.628, 29.334, 0.000, 0.520, 0.819, 10.000
0.911, 4.628, 16.214, 29.309, 0.000, 0.540, 0.911, 10.000
1.010, 4.964, 16.800, 29.283, 0.000, 0.560, 1.010, 10.000
1.117, 5.312, 17.385, 29.255, 0.000, 0.580, 1.117, 10.000
1.230, 5.671, 17.969, 29.226, 0.000, 0.600, 1.230, 10.000
1.351, 6.042, 18.553, 29.194, 0.000, 0.620, 1.351, 10.000
1.479, 6.425, 19.136, 29.161, 0.000, 0.640, 1.479, 10.000
1.616, 6.819, 19.719, 29.126, 0.000, 0.660, 1.616, 10.000
1.760, 7.225, 20.301, 29.089, 0.000, 0.680, 1.760, 10.000
1.913, 7.643, 20.882, 29.050, 0.000, 0.700, 1.913, 10.000
2.075, 8.072, 21.462, 29.010, 0.000, 0.720, 2.075, 10.000
2.245, 8.513, 22.041, 28.967, 0.000, 0.740, 2.245, 10.000
2.424, 8.965, 22.620, 28.923, 0.000, 0.760, 2.424, 10.000
2.613, 9.429, 23.197, 28.876, 0.000, 0.780, 2.613, 10.000
2.811, 9.905, 23.774, 28.828, 0.000, 0.800, 2.811, 10.000
3.019, 10.392, 24.349, 28.779, 0.000, 0.820, 3.019, 10.000
3.237, 10.890, 24.924, 28.727, 0.001, 0.840, 3.237, 10.001
3.465, 11.400, 25.497, 28.674, 0.001, 0.860, 3.465, 10.001
3.703, 11.922, 26.070, 28.619, 0.001, 0.880, 3.703, 10.001
3.952, 12.454, 26.641, 28.563, 0.001, 0.900, 3.952, 10.001
4.212, 12.999, 27.211, 28.505, 0.001, 0.920, 4.212, 10.001
4.483, 13.554, 27.780, 28.445, 0.001, 0.940, 4.483, 10.002
4.766, 14.121, 28.348, 28.385, 0.001, 0.960, 4.766, 10.002
5.060, 14.700, 28.914, 28.323, 0.001, 0.980, 5.060, 10.002
5.365, 15.289, 29.479, 28.260, 0.001, 1.000, 5.365, 10.003
5.683, 15.890, 30.043, 28.196, 0.002, 1.020, 5.683, 10.003
6.013, 16.502, 30.606, 28.131, 0.002, 1.040, 6.013, 10.004
6.356, 17.125, 31.167, 28.066, 0.002, 1.060, 6.356, 10.004
6.711, 17.760, 31.727, 27.999, 0.002, 1.080, 6.711, 10.005
7.079, 18.406, 32.286, 27.933, 0.002, 1.100, 7.079, 10.006
7.460, 19.063, 32.843, 27.866, 0.003, 1.120, 7.460, 10.007
7.855, 19.731, 33.399, 27.800, 0.003, 1.140, 7.855, 10.008
8.263, 20.410, 33.954, 27.733, 0.003, 1.160, 8.263, 10.009
8.685, 21.094, 34.214, 13.017, 0.004, 1.180, 8.685, 10.011
9.120, 21.778, 34.181, -1.671, 0.004, 1.200, 9.120, 10.013
9.570, 22.460, 34.147, -1.691, 0.004, 1.220, 9.570, 10.014
10.033, 23.143, 34.113, -1.708, 0.005, 1.240, 10.032, 10.017
10.509, 23.824, 34.078, -1.721, 0.005, 1.260, 10.509, 10.019
10.999, 24.505, 34.044, -1.731, 0.006, 1.280, 10.999, 10.022
11.503, 25.185, 34.009, -1.737, 0.006, 1.300, 11.503, 10.025
12.020, 25.865, 33.974, -1.741, 0.007, 1.320, 12.020, 10.028
12.551, 26.544, 33.939, -1.740, 0.008, 1.340, 12.551, 10.032
13.095, 27.222, 33.905, -1.736, 0.008, 1.360, 13.095, 10.036
13.653, 27.899, 33.870, -1.729, 0.009, 1.380, 13.653, 10.041
14.225, 28.576, 33.836, -1.717, 0.010, 1.400, 14.225, 10.046
14.810, 29.252, 33.802, -1.702, 0.010, 1.420, 14.810, 10.052
15.408, 29.927, 33.768, -1.683, 0.011, 1.440, 15.408, 10.059
16.021, 30.602, 33.735, -1.661, 0.012, 1.460, 16.020, 10.066
16.646, 31.276, 33.702, -1.634, 0.013, 1.480, 16.646, 10.073
17.285, 31.949, 33.670, -1.603, 0.014, 1.500, 17.285, 10.082
17.937, 32.622, 33.639, -1.568, 0.015, 1.520, 17.937, 10.091
18.603, 33.294, 33.608, -1.530, 0.016, 1.540, 18.603, 10.101
19.283, 33.966, 33.578, -1.487, 0.017, 1.560, 19.282, 10.113
19.975, 34.637, 33.550, -1.439, 0.018, 1.580, 19.975, 10.125
20.682, 35.307, 33.522, -1.388, 0.019, 1.600, 20.681, 10.138
21.401, 35.977, 33.495, -1.332, 0.020, 1.620, 21.400, 10.152
22.134, 36.647, 33.470, -1.272, 0.022, 1.640, 22.133, 10.168
22.880, 37.316, 33.446, -1.207, 0.023, 1.660, 22.879, 10.184
23.640, 37.984, 33.423, -1.139, 0.025, 1.680, 23.639, 10.203
24.413, 38.652, 33.402, -1.065, 0.026, 1.700, 24.411, 10.222
25.199, 39.320, 33.382, -0.987, 0.028, 1.720, 25.197, 10.243
25.999, 39.987, 33.364, -0.905, 0.029, 1.740, 25.997, 10.266
