Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.000, 0.012, 0.591, 29.542, 0.000, 0.000, 0.000, -10.000
0.001, 0.024, 0.591, 0.000, 0.000, 0.020, 0.001, -10.000
0.002, 0.053, 1.477, 44.313, 0.000, 0.040, 0.002, -10.000
0.004, 0.095, 2.068, 29.543, 0.000, 0.060, 0.004, -10.000
0.006, 0.148, 2.659, 29.543, 0.000, 0.080, 0.006, -10.000
0.011, 0.213, 3.250, 29.544, 0.000, 0.100, 0.011, -10.000
0.017, 0.290, 3.841, 29.545, 0.000, 0.120, 0.017, -10.000
0.024, 0.378, 4.432, 29.546, 0.000, 0.140, 0.024, -10.000
0.034, 0.479, 5.022, 29.548, 0.000, 0.160, 0.034, -10.000
0.045, 0.591, 5.614, 29.551, 0.000, 0.180, 0.045, -10.000
0.060, 0.715, 6.205, 29.554, 0.000, 0.200, 0.060, -10.000
0.077, 0.851, 6.796, 29.558, 0.000, 0.220, 0.077, -10.000
0.097, 0.999, 7.387, 29.563, 0.000, 0.240, 0.097, -10.000
0.120, 1.158, 7.978, 29.569, 0.000, 0.260, 0.120, -10.000
0.147, 1.330, 8.570, 29.575, 0.000, 0.280, 0.147, -10.000
0.177, 1.513, 9.162, 29.583, 0.000, 0.300, 0.177, -10.000
0.211, 1.708, 9.753, 29.592, 0.000, 0.320, 0.211, -10.000
0.249, 1.915, 10.345, 29.601, 0.000, 0.340, 0.249, -10.000
0.292, 2.134, 10.938, 29.612, 0.000, 0.360, 0.292, -10.000
0.339, 2.364, 11.530, 29.625, 0.000, 0.380, 0.339, -10.000
0.391, 2.607, 12.123, 29.638, 0.000, 0.400, 0.391, -10.000
0.449, 2.861, 12.716, 29.653, 0.000, 0.420, 0.449, -10.000
0.511, 3.127, 13.309, 29.670, 0.000, 0.440, 0.511, -10.000
0.579, 3.405, 13.903, 29.688, 0.000, 0.460, 0.579, -10.000
0.653, 3.695, 14.497, 29.707, 0.000, 0.480, 0.653, -10.000
0.733, 3.997, 15.092, 29.728, 0.000, 0.500, 0.733, -10.000
0.819, 4.311, 15.687, 29.751, 0.000, 0.520, 0.819, -10.000
0.912, 4.636, 16.282, 29.775, 0.000, 0.540, 0.912, -10.000
1.011, 4.974, 16.878, 29.801, 0.000, 0.560, 1.011, -10.000
1.118, 5.323, 17.475, 29.829, 0.000, 0.580, 1.118, -10.000
1.232, 5.685, 18.072, 29.858, 0.000, 0.600, 1.232, -10.000
1.353, 6.058, 18.670, 29.890, 0.000, 0.620, 1.353, -10.000
1.482, 6.444, 19.268, 29.923, 0.000, 0.640, 1.482, -10.000
1.618, 6.841, 19.868, 29.958, 0.000, 0.660, 1.618, -10.000
1.763, 7.250, 20.467, 29.995, 0.000, 0.680, 1.763, -10.000
1.917, 7.672, 21.068, 30.034, 0.000, 0.700, 1.917, -10.000
2.079, 8.105, 21.670, 30.075, 0.000, 0.720, 2.079, -10.000
2.250, 8.551, 22.272, 30.117, 0.000, 0.740, 2.250, -10.000
2.430, 9.008, 22.875, 30.162, 0.000, 0.760, 2.430, -10.000
2.620, 9.478, 23.479, 30.208, 0.000, 0.780, 2.620, -10.000
2.819, 9.959, 24.084, 30.256, 0.000, 0.800, 2.819, -10.000
3.028, 10.453, 24.691, 30.306, 0.000, 0.820, 3.028, -10.000
3.247, 10.959, 25.298, 30.357, 0.001, 0.840, 3.247, -9.999
3.477, 11.477, 25.906, 30.411, 0.001, 0.860, 3.477, -9.999
3.717, 12.007, 26.515, 30.465, 0.001, 0.880, 3.717, -9.999
3.968, 12.550, 27.126, 30.522, 0.001, 0.900, 3.968, -9.999
4.230, 13.105, 27.737, 30.580, 0.001, 0.920, 4.230, -9.999
4.503, 13.672, 28.350, 30.639, 0.001, 0.940, 4.503, -9.998
4.788, 14.251, 28.964, 30.700, 0.001, 0.960, 4.788, -9.998
5.085, 14.843, 29.579, 30.762, 0.001, 0.980, 5.085, -9.998
5.394, 15.447, 30.196, 30.825, 0.001, 1.000, 5.394, -9.997
5.715, 16.063, 30.814, 30.889, 0.002, 1.020, 5.715, -9.997
6.049, 16.691, 31.433, 30.953, 0.002, 1.040, 6.049, -9.996
6.396, 17.333, 32.053, 31.019, 0.002, 1.060, 6.396, -9.996
6.756, 17.986, 32.675, 31.085, 0.002, 1.080, 6.756, -9.995
7.129, 18.652, 33.298, 31.151, 0.002, 1.100, 7.129, -9.994
7.515, 19.330, 33.922, 31.218, 0.003, 1.120, 7.515, -9.993
7.916, 20.021, 34.548, 31.285, 0.003, 1.140, 7.916, -9.992
8.330, 20.725, 35.175, 31.351, 0.003, 1.160, 8.330, -9.990
8.759, 21.435, 35.505, 16.525, 0.004, 1.180, 8.759, -9.989
9.202, 22.146, 35.539, 1.671, 0.004, 1.200, 9.202, -9.987
9.659, 22.857, 35.573, 1.691, 0.004, 1.220, 9.659, -9.985
10.130, 23.569, 35.607, 1.708, 0.005, 1.240, 10.130, -9.983
10.616, 24.282, 35.641, 1.721, 0.005, 1.260, 10.616, -9.981
11.116, 24.996, 35.676, 1.731, 0.006, 1.280, 11.116, -9.978
11.630, 25.710, 35.710, 1.737, 0.006, 1.300, 11.630, -9.975
12.159, 26.425, 35.745, 1.741, 0.007, 1.320, 12.159, -9.971
12.701, 27.140, 35.780, 1.740, 0.008, 1.340, 12.701, -9.967
13.259, 27.857, 35.815, 1.736, 0.008, 1.360, 13.258, -9.963
13.830, 28.574, 35.849, 1.729, 0.009, 1.380, 13.830, -9.958
14.416, 29.291, 35.884, 1.717, 0.010, 1.400, 14.416, -9.953
15.016, 30.010, 35.918, 1.702, 0.010, 1.420, 15.016, -9.947
15.631, 30.729, 35.951, 1.683, 0.011, 1.440, 15.630, -9.940
16.260, 31.448, 35.985, 1.660, 0.012, 1.460, 16.259, -9.933
16.903, 32.169, 36.017, 1.634, 0.013, 1.480, 16.903, -9.925
17.561, 32.890, 36.049, 1.603, 0.014, 1.500, 17.560, -9.916
18.233, 33.611, 36.081, 1.568, 0.015, 1.520, 18.233, -9.907
18.920, 34.334, 36.111, 1.529, 0.016, 1.540, 18.919, -9.896
19.621, 35.056, 36.141, 1.486, 0.017, 1.560, 19.620, -9.885
20.336, 35.780, 36.170, 1.439, 0.018, 1.580, 20.336, -9.872
21.066, 36.504, 36.198, 1.388, 0.019, 1.600, 21.066, -9.858
21.811, 37.228, 36.224, 1.332, 0.020, 1.620, 21.810, -9.844
22.570, 37.953, 36.250, 1.272, 0.022, 1.640, 22.569, -9.828
23.344, 38.679, 36.274, 1.207, 0.023, 1.660, 23.342, -9.810
24.132, 39.405, 36.297, 1.138, 0.025, 1.680, 24.130, -9.791
24.934, 40.131, 36.318, 1.065, 0.026, 1.700, 24.933, -9.771
25.752, 40.858, 36.338, 0.987, 0.028, 1.720, 25.749, -9.749
26.583, 41.585, 36.356, 0.905, 0.029, 1.740, 26.581, -9.726
