Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.000, 0.012, 0.591, 29.546, 6.283, 0.000, 0.000, 10.000
0.001, 0.024, 0.591, 0.000, 6.283, 0.020, 0.001, 10.000
0.002, 0.053, 1.477, 44.321, 6.283, 0.040, 0.002, 10.000
0.004, 0.095, 2.068, 29.551, 6.283, 0.060, 0.004, 10.000
0.007, 0.148, 2.660, 29.557, 6.283, 0.080, 0.007, 10.000
0.011, 0.213, 3.251, 29.567, 6.283, 0.100, 0.011, 10.000
0.017, 0.290, 3.842, 29.582, 6.283, 0.120, 0.017, 10.000
0.024, 0.378, 4.435, 29.602, 6.283, 0.140, 0.024, 10.000
0.034, 0.479, 5.027, 29.630, 6.283, 0.160, 0.034, 10.000
0.046, 0.591, 5.620, 29.665, 6.283, 0.180, 0.046, 10.000
0.060, 0.716, 6.215, 29.709, 6.283, 0.200, 0.060, 10.000
0.077, 0.852, 6.810, 29.762, 6.283, 0.220, 0.077, 10.000
0.097, 1.000, 7.406, 29.826, 6.283, 0.240, 0.097, 10.000
0.120, 1.160, 8.004, 29.901, 6.283, 0.260, 0.120, 10.000
0.147, 1.332, 8.604, 29.988, 6.283, 0.280, 0.147, 10.000
0.177, 1.516, 9.206, 30.088, 6.283, 0.300, 0.177, 10.000
0.211, 1.712, 9.810, 30.202, 6.283, 0.320, 0.211, 10.000
0.250, 1.921, 10.417, 30.331, 6.283, 0.340, 0.250, 10.000
0.293, 2.141, 11.026, 30.475, 6.283, 0.360, 0.293, 10.000
0.340, 2.374, 11.639, 30.635, 6.283, 0.380, 0.340, 10.000
0.392, 2.619, 12.255, 30.812, 6.283, 0.400, 0.392, 10.000
0.450, 2.877, 12.875, 31.005, 6.283, 0.420, 0.450, 10.000
0.513, 3.147, 13.499, 31.217, 6.283, 0.440, 0.513, 10.000
0.581, 3.429, 14.128, 31.446, 6.283, 0.460, 0.581, 10.000
0.656, 3.724, 14.762, 31.694, 6.283, 0.480, 0.656, 10.000
0.737, 4.032, 15.401, 31.961, 6.283, 0.500, 0.737, 10.000
0.824, 4.353, 16.046, 32.246, 6.283, 0.520, 0.824, 10.000
0.917, 4.687, 16.697, 32.551, 6.283, 0.540, 0.917, 10.000
1.018, 5.034, 17.355, 32.875, 6.282, 0.560, 1.018, 10.000
1.126, 5.395, 18.019, 33.218, 6.282, 0.580, 1.126, 10.000
1.241, 5.769, 18.691, 33.580, 6.282, 0.600, 1.241, 10.000
1.364, 6.156, 19.370, 33.961, 6.282, 0.620, 1.364, 9.999
1.496, 6.557, 20.057, 34.361, 6.282, 0.640, 1.496, 9.999
1.635, 6.972, 20.753, 34.778, 6.281, 0.660, 1.635, 9.999
1.783, 7.401, 21.457, 35.213, 6.281, 0.680, 1.783, 9.999
1.940, 7.845, 22.170, 35.665, 6.281, 0.700, 1.940, 9.998
2.106, 8.303, 22.893, 36.134, 6.280, 0.720, 2.106, 9.998
2.281, 8.775, 23.625, 36.618, 6.280, 0.740, 2.281, 9.997
2.467, 9.262, 24.368, 37.116, 6.279, 0.760, 2.467, 9.997
2.662, 9.765, 25.120, 37.629, 6.279, 0.780, 2.662, 9.996
2.868, 10.283, 25.883, 38.153, 6.278, 0.800, 2.868, 9.995
3.084, 10.816, 26.657, 38.689, 6.277, 0.820, 3.084, 9.994
3.311, 11.365, 27.442, 39.234, 6.276, 0.840, 3.311, 9.992
3.550, 11.929, 28.238, 39.788, 6.275, 0.860, 3.550, 9.990
3.800, 12.510, 29.045, 40.348, 6.274, 0.880, 3.800, 9.988
4.062, 13.107, 29.863, 40.913, 6.273, 0.900, 4.062, 9.986
4.337, 13.721, 30.692, 41.481, 6.272, 0.920, 4.337, 9.983
4.624, 14.352, 31.533, 42.050, 6.270, 0.940, 4.624, 9.979
4.924, 15.000, 32.386, 42.616, 6.269, 0.960, 4.924, 9.975
5.237, 15.665, 33.249, 43.177, 6.267, 0.980, 5.237, 9.970
5.564, 16.347, 34.124, 43.731, 6.265, 1.000, 5.564, 9.965
5.905, 17.047, 35.009, 44.273, 6.263, 1.020, 5.905, 9.958
6.260, 17.765, 35.905, 44.800, 6.260, 1.040, 6.260, 9.950
6.630, 18.502, 36.812, 45.308, 6.258, 1.060, 6.630, 9.941
7.015, 19.256, 37.727, 45.791, 6.255, 1.080, 7.015, 9.931
7.416, 20.029, 38.652, 46.243, 6.252, 1.100, 7.415, 9.919
7.832, 20.821, 39.585, 46.658, 6.249, 1.120, 7.831, 9.906
8.265, 21.631, 40.526, 47.030, 6.245, 1.140, 8.264, 9.890
8.714, 22.461, 41.473, 47.348, 6.242, 1.160, 8.713, 9.872
9.180, 23.303, 42.101, 31.390, 6.237, 1.180, 9.178, 9.852
9.663, 24.151, 42.402, 15.075, 6.233, 1.200, 9.661, 9.829
10.163, 25.005, 42.697, 14.716, 6.228, 1.220, 10.160, 9.803
10.681, 25.865, 42.982, 14.257, 6.223, 1.240, 10.676, 9.773
11.215, 26.723, 42.927, -2.754, 6.218, 1.260, 11.210, 9.740
11.767, 27.574, 42.523, -20.168, 6.212, 1.280, 11.760, 9.702
12.335, 28.415, 42.095, -21.433, 6.206, 1.300, 12.327, 9.660
12.920, 29.248, 41.638, -22.822, 6.200, 1.320, 12.910, 9.613
13.521, 30.071, 41.151, -24.338, 6.193, 1.340, 13.509, 9.561
14.139, 30.884, 40.632, -25.983, 6.186, 1.360, 14.124, 9.504
14.773, 31.685, 40.077, -27.755, 6.179, 1.380, 14.755, 9.440
15.422, 32.475, 39.484, -29.655, 6.171, 1.400, 15.400, 9.370
16.087, 33.252, 38.850, -31.679, 6.163, 1.420, 16.061, 9.292
16.768, 34.016, 38.174, -33.823, 6.154, 1.440, 16.736, 9.208
17.463, 34.765, 37.452, -36.079, 6.145, 1.460, 17.425, 9.115
18.173, 35.498, 36.683, -38.437, 6.136, 1.480, 18.128, 9.014
18.897, 36.216, 35.866, -40.885, 6.126, 1.500, 18.844, 8.904
19.635, 36.915, 34.997, -43.406, 6.116, 1.520, 19.572, 8.786
20.387, 37.597, 34.078, -45.981, 6.106, 1.540, 20.313, 8.657
21.153, 38.259, 33.106, -48.587, 6.096, 1.560, 21.066, 8.518
21.931, 38.901, 32.082, -51.197, 6.085, 1.580, 21.829, 8.369
22.721, 39.521, 31.006, -53.783, 6.074, 1.600, 22.603, 8.209
23.523, 40.119, 29.880, -56.314, 6.063, 1.620, 23.387, 8.038
24.337, 40.693, 28.705, -58.756, 6.051, 1.640, 24.180, 7.855
25.162, 41.242, 27.484, -61.076, 6.039, 1.660, 24.982, 7.661
25.997, 41.767, 26.219, -63.239, 6.028, 1.680, 25.791, 7.454
26.843, 42.265, 24.915, -65.212, 6.016, 1.700, 26.608, 7.236
27.697, 42.736, 23.575, -66.963, 6.003, 1.720, 27.431, 7.005
28.561, 43.181, 22.206, -68.465, 5.991, 1.740, 28.259, 6.761
29.433, 43.597, 20.812, -69.693, 5.979, 1.760, 29.093, 6.505
30.313, 43.985, 19.400, -70.628, 5.967, 1.780, 29.931, 6.237
31.200, 44.344, 17.974, -71.257, 5.955, 1.800, 30.772, 5.956
32.093, 44.675, 16.543, -71.571, 5.943, 1.820, 31.616, 5.662
32.993, 44.977, 15.112, -71.570, 5.930, 1.840, 32.462, 5.356
33.898, 45.251, 13.686, -71.260, 5.919, 1.860, 33.309, 5.039
34.808, 45.497, 12.273, -70.652, 5.907, 1.880, 34.157, 4.709
35.722, 45.714, 10.878, -69.766, 5.895, 1.900, 35.006, 4.368
36.640, 45.904, 9.506, -68.624, 5.884, 1.920, 35.854, 4.016
37.561, 46.067, 8.160, -67.253, 5.873, 1.940, 36.700, 3.653
38.485, 46.204, 6.847, -65.684, 5.862, 1.960, 37.546, 3.280
39.412, 46.316, 5.568, -63.950, 5.852, 1.980, 38.389, 2.897
40.340, 46.402, 4.326, -62.086, 5.841, 2.000, 39.230, 2.504
41.269, 46.465, 3.124, -60.124, 5.832, 2.020, 40.068, 2.103
42.199, 46.504, 1.962, -58.099, 5.822, 2.040, 40.903, 1.693
43.129, 46.521, 0.841, -56.041, 5.813, 2.060, 41.735, 1.275
44.060, 46.516, -0.239, -53.980, 5.805, 2.080, 42.562, 0.851
44.990, 46.491, -1.278, -51.942, 5.796, 2.100, 43.386, 0.419
45.919, 46.445, -2.277, -49.948, 5.789, 2.120, 44.205, -0.019
46.846, 46.380, -3.237, -48.018, 5.782, 2.140, 45.020, -0.462
47.772, 46.297, -4.160, -46.167, 5.775, 2.160, 45.830, -0.910
48.696, 46.196, -5.048, -44.406, 5.769, 2.180, 46.636, -1.362
49.618, 46.078, -5.903, -42.743, 5.763, 2.200, 47.437, -1.818
50.536, 45.943, -6.727, -41.182, 5.758, 2.220, 48.233, -2.277
51.452, 45.793, -7.521, -39.724, 5.753, 2.240, 49.024, -2.738
52.365, 45.627, -8.289, -38.367, 5.749, 2.260, 49.810, -3.202
53.274, 45.447, -9.031, -37.108, 5.745, 2.280, 50.592, -3.666
54.179, 45.252, -9.750, -35.939, 5.742, 2.300, 51.368, -4.131
55.080, 45.043, -10.447, -34.853, 5.740, 2.320, 52.140, -4.596
55.976, 44.820, -11.124, -33.838, 5.738, 2.340, 52.906, -5.061
56.868, 44.585, -11.781, -32.885, 5.736, 2.360, 53.668, -5.524
57.754, 44.336, -12.421, -31.980, 5.735, 2.380, 54.425, -5.985
58.636, 44.075, -13.043, -31.111, 5.735, 2.400, 55.178, -6.445
59.512, 43.797, -13.916, -43.632, 5.735, 2.420, 55.925, -6.901
60.382, 43.502, -14.765, -42.450, 5.736, 2.440, 56.668, -7.354
61.246, 43.195, -15.326, -28.064, 5.737, 2.460, 57.406, -7.803
62.103, 42.878, -15.870, -27.197, 5.739, 2.480, 58.140, -8.247
62.954, 42.550, -16.396, -26.296, 5.742, 2.500, 58.868, -8.687
63.799, 42.212, -16.903, -25.347, 5.745, 2.520, 59.593, -9.121
64.636, 41.864, -17.390, -24.339, 5.748, 2.540, 60.312, -9.549
65.466, 41.507, -17.855, -23.259, 5.753, 2.560, 61.027, -9.970
66.289, 41.141, -18.297, -22.098, 5.757, 2.580, 61.738, -10.385
67.104, 40.767, -18.714, -20.846, 5.762, 2.600, 62.444, -10.793
