Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.000, 0.012, 0.591, 29.546, 6.283, 0.000, 0.000, -10.000
0.001, 0.024, 0.591, -0.000, 6.283, 0.020, 0.001, -10.000
0.002, 0.053, 1.477, 44.318, 6.283, 0.040, 0.002, -10.000
0.004, 0.095, 2.068, 29.542, 6.283, 0.060, 0.004, -10.000
0.006, 0.148, 2.659, 29.535, 6.283, 0.080, 0.006, -10.000
0.011, 0.213, 3.249, 29.525, 6.283, 0.100, 0.011, -10.000
0.017, 0.289, 3.840, 29.511, 6.283, 0.120, 0.017, -10.000
0.024, 0.378, 4.429, 29.490, 6.283, 0.140, 0.024, -10.000
0.034, 0.478, 5.019, 29.463, 6.283, 0.160, 0.034, -10.000
0.045, 0.591, 5.607, 29.428, 6.283, 0.180, 0.045, -10.000
0.060, 0.714, 6.195, 29.384, 6.283, 0.200, 0.060, -10.000
0.077, 0.850, 6.781, 29.331, 6.283, 0.220, 0.077, -10.000
0.097, 0.997, 7.367, 29.267, 6.283, 0.240, 0.097, -10.000
0.120, 1.156, 7.951, 29.192, 6.283, 0.260, 0.120, -10.000
0.146, 1.327, 8.533, 29.105, 6.283, 0.280, 0.146, -10.000
0.177, 1.509, 9.113, 29.004, 6.283, 0.300, 0.177, -10.000
0.211, 1.703, 9.691, 28.890, 6.283, 0.320, 0.211, -10.000
0.249, 1.909, 10.266, 28.761, 6.283, 0.340, 0.249, -10.000
0.291, 2.125, 10.838, 28.617, 6.283, 0.360, 0.291, -10.000
0.338, 2.353, 11.407, 28.457, 6.283, 0.380, 0.338, -10.000
0.390, 2.593, 11.973, 28.281, 6.283, 0.400, 0.390, -10.000
0.447, 2.844, 12.535, 28.087, 6.283, 0.420, 0.447, -10.000
0.509, 3.105, 13.092, 27.876, 6.283, 0.440, 0.509, -10.000
0.577, 3.378, 13.645, 27.646, 6.283, 0.460, 0.577, -10.000
0.650, 3.662, 14.193, 27.399, 6.283, 0.480, 0.650, -10.000
0.729, 3.957, 14.736, 27.132, 6.283, 0.500, 0.729, -10.000
0.814, 4.262, 15.273, 26.846, 6.283, 0.520, 0.814, -10.000
0.906, 4.578, 15.803, 26.541, 6.283, 0.540, 0.906, -10.000
1.004, 4.905, 16.328, 26.217, 6.282, 0.560, 1.004, -10.000
1.109, 5.242, 16.845, 25.874, 6.282, 0.580, 1.109, -10.000
1.221, 5.589, 17.356, 25.512, 6.282, 0.600, 1.221, -10.000
1.340, 5.946, 17.858, 25.131, 6.282, 0.620, 1.340, -10.001
1.466, 6.313, 18.353, 24.732, 6.282, 0.640, 1.466, -10.001
1.600, 6.690, 18.839, 24.314, 6.281, 0.660, 1.600, -10.001
1.741, 7.076, 19.317, 23.879, 6.281, 0.680, 1.741, -10.001
1.891, 7.472, 19.785, 23.427, 6.281, 0.700, 1.891, -10.002
2.048, 7.877, 20.244, 22.958, 6.280, 0.720, 2.048, -10.002
2.214, 8.291, 20.694, 22.475, 6.280, 0.740, 2.214, -10.002
2.388, 8.713, 21.133, 21.976, 6.279, 0.760, 2.388, -10.003
2.571, 9.145, 21.563, 21.464, 6.279, 0.780, 2.571, -10.004
2.763, 9.584, 21.981, 20.939, 6.278, 0.800, 2.763, -10.005
2.964, 10.032, 22.390, 20.404, 6.277, 0.820, 2.964, -10.006
3.173, 10.488, 22.787, 19.858, 6.276, 0.840, 3.173, -10.007
3.392, 10.951, 23.173, 19.304, 6.275, 0.860, 3.392, -10.009
3.621, 11.422, 23.548, 18.744, 6.274, 0.880, 3.621, -10.011
3.859, 11.901, 23.911, 18.179, 6.273, 0.900, 3.859, -10.013
4.106, 12.386, 24.263, 17.611, 6.272, 0.920, 4.106, -10.016
4.364, 12.878, 24.604, 17.043, 6.270, 0.940, 4.364, -10.019
4.632, 13.377, 24.934, 16.476, 6.269, 0.960, 4.631, -10.023
4.909, 13.882, 25.252, 15.915, 6.267, 0.980, 4.909, -10.027
5.197, 14.393, 25.559, 15.361, 6.265, 1.000, 5.197, -10.032
5.495, 14.910, 25.856, 14.819, 6.263, 1.020, 5.495, -10.038
5.804, 15.433, 26.142, 14.291, 6.260, 1.040, 5.804, -10.044
6.123, 15.961, 26.417, 13.784, 6.258, 1.060, 6.123, -10.052
6.453, 16.495, 26.683, 13.301, 6.255, 1.080, 6.453, -10.061
6.794, 17.034, 26.940, 12.849, 6.252, 1.100, 6.793, -10.071
7.145, 17.577, 27.189, 12.433, 6.249, 1.120, 7.144, -10.083
7.508, 18.126, 27.430, 12.062, 6.245, 1.140, 7.507, -10.096
7.881, 18.679, 27.665, 11.742, 6.242, 1.160, 7.880, -10.110
8.266, 19.232, 27.628, -1.845, 6.237, 1.180, 8.264, -10.127
8.662, 19.778, 27.327, -15.077, 6.233, 1.200, 8.659, -10.146
9.068, 20.319, 27.032, -14.719, 6.228, 1.220, 9.065, -10.167
9.485, 20.854, 26.747, -14.260, 6.223, 1.240, 9.482, -10.191
9.913, 21.378, 26.211, -26.795, 6.218, 1.260, 9.908, -10.218
10.350, 21.887, 25.433, -38.927, 6.212, 1.280, 10.345, -10.248
10.798, 22.380, 24.679, -37.662, 6.206, 1.300, 10.791, -10.281
11.255, 22.859, 23.954, -36.273, 6.200, 1.320, 11.247, -10.317
11.722, 23.325, 23.259, -34.757, 6.193, 1.340, 11.712, -10.358
12.197, 23.777, 22.596, -33.113, 6.186, 1.360, 12.185, -10.402
12.681, 24.216, 21.970, -31.340, 6.179, 1.380, 12.667, -10.451
13.174, 24.644, 21.381, -29.441, 6.171, 1.400, 13.157, -10.504
13.676, 25.060, 20.833, -27.416, 6.163, 1.420, 13.655, -10.562
14.185, 25.467, 20.327, -25.272, 6.154, 1.440, 14.160, -10.626
14.702, 25.864, 19.867, -23.016, 6.145, 1.460, 14.673, -10.695
15.227, 26.253, 19.454, -20.657, 6.136, 1.480, 15.193, -10.769
15.760, 26.635, 19.089, -18.209, 6.126, 1.500, 15.719, -10.850
16.300, 27.010, 18.776, -15.687, 6.116, 1.520, 16.252, -10.937
16.848, 27.381, 18.513, -13.112, 6.106, 1.540, 16.792, -11.031
17.403, 27.747, 18.303, -10.506, 6.096, 1.560, 17.338, -11.131
17.965, 28.110, 18.145, -7.895, 6.085, 1.580, 17.890, -11.239
18.534, 28.470, 18.039, -5.309, 6.074, 1.600, 18.447, -11.354
19.111, 28.830, 17.984, -2.777, 6.063, 1.620, 19.010, -11.477
19.695, 29.190, 17.977, -0.334, 6.051, 1.640, 19.579, -11.608
20.286, 29.550, 18.017, 1.986, 6.039, 1.660, 20.154, -11.748
20.884, 29.912, 18.100, 4.150, 6.028, 1.680, 20.733, -11.895
21.489, 30.276, 18.222, 6.124, 6.016, 1.700, 21.318, -12.052
22.102, 30.644, 18.380, 7.876, 6.003, 1.720, 21.908, -12.218
22.723, 31.015, 18.567, 9.378, 5.991, 1.740, 22.504, -12.393
23.350, 31.391, 18.779, 10.607, 5.979, 1.760, 23.104, -12.577
23.986, 31.771, 19.010, 11.542, 5.967, 1.780, 23.709, -12.771
24.629, 32.156, 19.254, 12.171, 5.955, 1.800, 24.319, -12.975
25.280, 32.546, 19.503, 12.485, 5.943, 1.820, 24.934, -13.189
25.939, 32.941, 19.753, 12.484, 5.930, 1.840, 25.553, -13.412
26.606, 33.341, 19.997, 12.174, 5.919, 1.860, 26.178, -13.647
27.280, 33.746, 20.228, 11.567, 5.907, 1.880, 26.807, -13.891
27.964, 34.155, 20.442, 10.680, 5.895, 1.900, 27.441, -14.146
28.655, 34.567, 20.632, 9.537, 5.884, 1.920, 28.079, -14.411
29.355, 34.983, 20.796, 8.166, 5.873, 1.940, 28.722, -14.686
30.063, 35.402, 20.928, 6.597, 5.862, 1.960, 29.370, -14.972
30.779, 35.822, 21.025, 4.862, 5.852, 1.980, 30.022, -15.269
31.504, 36.244, 21.085, 2.997, 5.841, 2.000, 30.679, -15.575
32.237, 36.666, 21.105, 1.035, 5.832, 2.020, 31.340, -15.892
32.979, 37.088, 21.086, -0.991, 5.822, 2.040, 32.006, -16.219
33.729, 37.508, 21.025, -3.049, 5.813, 2.060, 32.676, -16.556
34.488, 37.927, 20.922, -5.111, 5.805, 2.080, 33.351, -16.902
35.255, 38.342, 20.779, -7.150, 5.796, 2.100, 34.030, -17.258
36.030, 38.754, 20.597, -9.145, 5.789, 2.120, 34.714, -17.623
36.813, 39.162, 20.375, -11.075, 5.782, 2.140, 35.402, -17.998
37.604, 39.564, 20.116, -12.927, 5.775, 2.160, 36.095, -18.380
38.403, 39.961, 19.823, -14.689, 5.769, 2.180, 36.792, -18.772
39.210, 40.351, 19.496, -16.352, 5.763, 2.200, 37.493, -19.171
40.025, 40.733, 19.137, -17.914, 5.758, 2.220, 38.199, -19.578
40.847, 41.108, 18.750, -19.373, 5.753, 2.240, 38.909, -19.992
41.677, 41.475, 18.335, -20.729, 5.749, 2.260, 39.624, -20.413
42.513, 41.833, 17.896, -21.989, 5.745, 2.280, 40.343, -20.841
43.357, 42.182, 17.432, -23.158, 5.742, 2.300, 41.067, -21.274
44.207, 42.520, 16.947, -24.245, 5.740, 2.320, 41.795, -21.713
45.064, 42.849, 16.442, -25.259, 5.738, 2.340, 42.528, -22.157
45.928, 43.168, 15.918, -26.213, 5.736, 2.360, 43.266, -22.606
46.797, 43.475, 15.376, -27.118, 5.735, 2.380, 44.008, -23.058
47.673, 43.772, 14.816, -27.987, 5.735, 2.400, 44.755, -23.514
48.554, 44.051, 13.969, -42.367, 5.735, 2.420, 45.507, -23.973
49.440, 44.313, 13.098, -43.549, 5.736, 2.440, 46.264, -24.435
50.331, 44.562, 12.477, -31.034, 5.737, 2.460, 47.025, -24.898
51.227, 44.799, 11.839, -31.901, 5.739, 2.480, 47.792, -25.362
52.128, 45.023, 11.183, -32.802, 5.742, 2.500, 48.563, -25.827
53.032, 45.233, 10.508, -33.751, 5.745, 2.520, 49.339, -26.292
53.941, 45.429, 9.813, -34.759, 5.748, 2.540, 50.120, -26.757
54.853, 45.611, 9.096, -35.838, 5.753, 2.560, 50.905, -27.220
55.769, 45.778, 8.356, -36.999, 5.757, 2.580, 51.696, -27.682
56.687, 45.930, 7.591, -38.250, 5.762, 2.600, 52.492, -28.141
